OBJECTID,Traffic zone number,traffic zone number.1,Area,Multi traffic area,on a traffic zone,In Jerusalem,religion,Traffic zone name,metropolis,Scope,district,Authority,Total housing units until 2020,Additional units 2020-2025,Additional units 2025-2030,Additional units 2030-2035,Additional units 2035-2040,Total housing units until 2025,Total housing units until 2030,Total housing units until 2035,Total housing units until 2040,Gm_b average 2020,Gm_b average 2025,Gm_b average 2030,Gm_b average 2035,Gm_b average 2040,2020 population projections,Population projections 2025,Population projections 2030,Population projections 2035,Population projections 2040,Total students 2020,Total students 2025,Total students 2030,Total students 2035,Total students 2040,Employed in education from students 2015,Employed in education from students 2020,Employed in education from students 2025,Employed in education from 2030 students,2035 students are employed in education,Employed in education from 2040 students,Jobs in industry in 2040,Jobs in commerce and hotels in 2040,Office jobs in 2040,Jobs in public services in 2040,Jobs in education in 2040,Jobs in agriculture in 2040,Total employed 2020,A total of 2025 employees,Total employed 2030,Total employed 2035,Total employed 2040,Total Yeshiva students and include 2015,Total Yeshiva students and include 2020,Total yeshiva students including 2025,Total yeshiva students including 2030,Total yeshiva students and kollel 2035,Total yeshiva students including 2040,Higher education students 2015,Higher education students 2020,Higher education students 2025,Higher education students 2030,Higher education students 2035,Higher education students 2040,Last update date of the traffic area data,GlobalID,Shape__Area,Shape__Length
1,6006,6006,60,60,6,yes,Jewish,Neve Ya'akov - commercial center,yes,1488.96686874,jerusalem,Jerusalem,843.636363636364,5.19166666666667,5.19166666666667,5.19166666666667,5.19166666666667,848.82803030303,854.019696969697,859.211363636364,864.403030303031,5.5,5.5,5.5,5.0,5.0,4640.0,4668.55416666667,4697.10833333333,4296.05681818182,4322.01515151515,576.615297689832,727.230595379664,877.845893069497,1028.46119075933,1179.07648844916,,48.051274807486,60.602549614972,73.1538244224581,85.7050992299441,98.2563740374301,0.0,208.764221875486,104.382110937743,63.8037229816887,205.834223052241,0.0,509.640746311828,538.455520017372,549.026451162527,567.361539894555,582.78427884716,100.0,843.636363636364,100.0,100.0,100.0,100.0,,,,,,,2021-09-05,e83bb7de-f7a1-43a8-86ab-9ff747e579bf,132287.422103882,1488.96686874482
2,6007,6007,60,60,6,yes,Jewish,Neve Yaakov Tathon,yes,1644.15320193,jerusalem,Jerusalem,932.232275862077,8.9,8.9,8.9,8.9,941.132275862077,950.032275862077,958.932275862077,967.832275862077,4.34585848221414,4.75304638763885,5.12404379720104,5.42211117075564,5.61574172443583,4051.349543449,4473.24536407658,4868.00699027186,5199.4374049499,5435.09609381435,363.192923640568,526.385847281137,689.578770921705,852.771694562274,1015.96461820284,,30.2660769700474,43.8654872734281,57.4648975768088,71.0643078801895,84.6637181835702,0.0,0.0,49.9011439896351,15.1374323842733,112.238660151643,0.0,120.325198064689,144.167047667392,152.004289682018,166.655839378673,177.277236525552,40.0,932.232275862077,40.0,40.0,40.0,40.0,,,,,,,,ba80ab68-8c9d-4ae2-b6ce-c4aabe0624e2,113146.039169312,1644.15320193024
3,5807,5807,58,58,5,yes,U. Orthodox,Ramot - a pool of water,yes,2919.90821971,jerusalem,Jerusalem,1048.27499999999,0.0,70.0,29.8,30.0,1048.27499999999,1118.27499999999,1148.07499999999,1178.07499999999,5.76147364194869,5.77388278641992,5.77645208521823,5.79908825399593,5.71741488568562,6039.60878201371,6052.61697793428,6459.66195559736,6657.78824720631,6735.54354145403,3775.88433400344,3754.0993385671,3816.06870079126,3813.53200313437,3783.03928089721,,314.65702783362,312.841611547258,318.005725065938,317.794333594531,315.253273408101,0.0,108.430335884922,0.0,195.546861463521,847.544351274248,0.0,1070.72058643561,1086.80420062907,1112.84351970443,1134.00282575892,1151.52154862269,762.0,1048.27499999999,1263.11964501119,1228.93264577218,1324.79914202611,1364.65802554674,,,,,,,,749de8f5-9ccb-468f-91dd-fab4f00a0ba5,515972.383010864,2919.90821971014
4,5806,5806,58,58,5,yes,U. Orthodox,Polish highlands,yes,2522.24042154,jerusalem,Jerusalem,973.076923076923,72.9,0.0,0.0,0.0,1045.97692307692,1045.97692307692,1045.97692307692,1045.97692307692,6.5,6.5,6.5,6.0,6.0,6325.0,6798.85,6798.85,6275.86153846154,6275.86153846154,2534.5,2534.5,2534.5,2534.5,2534.5,,211.208333333333,211.208333333333,211.208333333333,211.208333333333,211.208333333333,0.0,58.7497377959651,58.7497377959651,122.310388631443,411.248164571755,0.0,537.071728526345,613.985834659965,629.29151987256,642.111755221864,651.058028795128,2040.0,973.076923076923,2437.36676680718,2400.37483544311,2467.55446570388,2498.23476476453,,,,,,,2021-09-05,6582ef1e-0e63-49ec-a8ee-5f73cfbed3f8,244490.650497437,2522.24042153771
5,5802,5802,58,58,5,yes,Jewish,Ramot - the daily page,yes,2364.66617576,jerusalem,Jerusalem,604.500000000004,75.6,0.0,6.0,14.0,680.100000000004,680.100000000004,686.100000000004,700.100000000004,5.74358974358971,5.74358974358971,5.74358974358971,5.7352901324823,5.71684001196695,3472.0,3906.21538461538,3906.21538461538,3934.98255989613,4002.35969237808,317.288128565632,350.128125798652,317.624173844037,312.049771207683,313.644650856124,,26.4406773804693,29.1773438165543,26.4686811536698,26.0041476006403,26.1370542380103,0.0,4.58833241488882,79.5310944205664,145.297191981886,163.290840208154,0.0,367.862639223392,373.100212164841,377.257715224664,384.0084556161,392.707459025496,0.0,604.500000000004,0.0,0.0,0.0,0.0,,,,,,,,3a81c5d3-4ab3-4925-b036-864f1b958853,277170.965072632,2364.66617575488
6,6401,6401,64,64,6,yes,arabs behined seperation,Shuafat Refugee Camp - East,yes,2527.40261959,jerusalem,Jerusalem,4645.38360000002,0.0,6.0,0.0,0.0,6325.43081101886,7309.54833685995,8287.94554206247,9220.37202211246,5.90561631554968,5.2,5.2,5.2,5.2,27433.853180147,32892.2402172981,38009.6513516718,43097.3168187248,47945.9345149848,1218.50459685812,1440.28115640563,1542.01408549904,1704.49695717829,1796.90140432622,,,,,,,67.4315328190159,404.589196914095,269.726131276063,269.726131276063,447.631330047928,0.0,787.775179839573,953.228752671391,1124.61116366107,1298.21941636268,1459.10432233317,0.0,4645.38360000002,0.0,0.0,0.0,0.0,,,,,,,,16ebb19f-2468-4813-92d0-9e252c47bd4a,367501.61491394,2527.40261959757
7,5703,5703,57,57,5,yes,Jewish,Ramot - Technology Garden,yes,2420.73680985,jerusalem,Jerusalem,596.833342512906,0.0,25.2,0.0,0.0,596.833342512906,622.033342512906,622.033342512906,622.033342512906,4.26417195340417,4.40659027011904,4.41616198402259,4.47564432599887,4.49975878896222,2545.0,2630.0,2747.0,2784.0,2799.0,1065.40230104792,1091.68761609475,1046.70168858181,1064.3355927672,1077.54383061072,,88.7835250873271,90.9739680078958,87.2251407151504,88.6946327306,89.79531921756,0.0,19.717729082603,80.8217868684266,138.600894255048,240.247184614216,0.0,392.784606335394,402.928167410098,409.736426694217,472.789660209331,479.387594820293,0.0,596.833342512906,0.0,0.0,0.0,0.0,,,,,,,,a808165a-5611-40ed-96bf-6582148dec3e,209624.942993164,2420.73680984148
8,5706,5706,57,57,5,yes,Jewish,Ramot - the tree garden,yes,1573.09913999,jerusalem,Jerusalem,813.178657487092,0.0,0.0,0.0,0.0,813.178657487092,813.178657487092,813.178657487092,813.178657487092,4.37665200289211,4.6877767448791,5.02841529638265,5.43300043517205,5.88431577236267,3559.0,3812.0,4089.0,4418.0,4785.0,478.037676240556,507.910820443218,495.948188506473,534.033247553646,573.891276640028,,39.8364730200464,42.3259017036015,41.3290157088727,44.5027706294705,47.8242730533356,0.0,64.8406075612816,64.8406075612816,97.2609113419224,119.069302958734,0.0,286.08770124829,299.892186922038,311.95737204846,328.536133035181,346.01142942322,28.0,813.178657487092,28.0,28.0,28.0,28.0,,,,,,,,7778d9e2-db4e-4b69-8bc1-bf135505fad0,125226.166397095,1573.09913998717
9,5105,5105,51,51,5,yes,U. Orthodox,Expanded Sanhdria,yes,2525.13450177,jerusalem,Jerusalem,798.304666869022,179.8,10.5,10.5,10.5,978.104666869022,988.604666869022,999.104666869022,1009.60466686902,6.0216930661879,5.73710697109847,5.87188398109932,5.95515751686009,5.95259245150102,4807.14567719063,5611.49110275821,5804.97190702824,5949.82566703505,6009.76511900474,5217.08444505582,5458.00398995461,5516.59592171378,5575.18785347296,5633.77978523214,,434.757037087985,454.833665829551,459.716326809482,464.598987789414,469.481648769345,0.0,71.150506722789,121.687110001126,217.5171496028,365.061330003378,0.0,635.926360609837,743.28036357477,756.521602564363,767.535896118035,775.416096330093,831.0,798.304666869022,1203.22301777858,1174.63393629316,1232.64432758953,1252.84128758261,,,,,,,,23c3fa30-d562-46b5-8782-cd03bc80ea14,383436.819366455,2525.13450176345
10,5210,5210,52,52,5,yes,U. Orthodox,Kiryat Sanz,yes,3659.82226519,jerusalem,Jerusalem,754.848526478606,0.0,0.0,70.0,0.0,754.848526478606,754.848526478606,824.848526478606,824.848526478606,5.0437029434427,5.09774921540745,5.25266128547527,5.16614698024894,5.14890640731987,3807.23173485353,3848.02848360779,3964.96363143222,4261.28872423024,4247.06786305405,1217.48866590254,1357.97733180508,1498.46599770762,1638.95466361016,1779.4433295127,,101.457388825212,113.164777650423,124.872166475635,136.579555300847,148.286944126058,0.0,82.4443476727614,82.4443476727614,164.888695345523,545.68417490366,0.0,796.349713715252,823.777796239008,843.378317010541,865.578106554418,875.461565594706,844.0,754.848526478606,1082.13941613546,1088.24820215747,1171.21798591546,1168.27990214784,,,,,,,,d0750f24-62a0-4ea8-886a-d93a5f60f828,304162.152053833,3659.82226519605
